末代皇帝（數位修復版）,劇情,https://movies.tw.campaign.yahoo.net/i/o/production/movies/April2020/wkis1C1ChQsNIDS0hUv7-504x720.jpg,★第60屆奧斯卡獎9項大獎！享譽國際的史詩傳奇電影《末代皇帝》，由奧斯卡大導貝托魯奇執導，國際影星尊龍、金馬影后陳沖、鄔君梅主演，將中國末代皇帝溥儀多舛的命運與中國歷史相互交織，32週年重返大螢幕！
死因無可疑,驚悚,https://movies.yahoo.com.tw/i/o/production/movies/June2020/1M6V6wXrKvNeCvtTRDAt-504x720.jpg,保險經紀葉永信做事認真，一天突然被神秘客戶指定跟進一張保單，上門拜訪時，竟然親眼目睹客戶朱重德的兒子吊死在潻黑的房間內，嚇出一身冷汗的他，認為朱重德在現場的反應古怪，直覺認定他是為了詐取保險金而殺了兒子，決心對朱重德和他殘障的妻子沈子玲展開調查。葉永信卻驚覺越接近真相的同時，恐嚇的事件接二連三地發生，危險向他和他身邊的人逐步逼近，他也處身死亡邊緣......
沉默的羔羊,劇情,https://movies.yahoo.com.tw/i/o/production/movies/June2020/GCEiRsImL1Iu2d6GvXqt-504x720.jpg,★ 影史最經典的驚悚片、奧斯卡5項大獎！聯邦調查局女調查員奉命追查連績殺人案，被害人全是女性，而且兇手做案後會把被害人的皮剝下來。兇手的手法殘酷而異常，警方毫無線索，女調查員在上司指示下去找曾當過心理醫生的變態殺人犯，藉以了解兇手的心理狀態。他被關在一個地牢似的牢房裡，對研究他的聯邦幹探和警方派來的心理醫生理都不理，但對女調查員則頗感興趣。他把能找出兇手身份的線索告訴佛斯特，但交換條件是她必須把女調查的過去告訴他。
波希米亞狂想曲,劇情,https://movies.yahoo.com.tw/i/o/production/movies/June2020/6w3L0YbJNbFNha5xQ1dQ-672x960.jpg,★ 搖滾不死！皇后合唱團傳記電影重登大銀幕！描述「皇后合唱團」的音樂以及其樂團靈魂人物──主唱佛萊迪墨裘瑞短暫卻刻骨銘心的一生，如何靠著音樂打破世俗，成為史上最偉大的藝術家之一。佛萊迪墨裘瑞成功風靡了全球樂迷的心；然而在外界看不到的背後，卻藏匿著潛在的衝突......。到今日，他們的精神也都持續地透過經典，感染並激勵著世界上每個角落，包括所有的夢想家及樂迷們。
海綿寶寶：奔跑吧,卡通動畫,https://www.98yp.net/wp-content/uploads/2019/11/10372.jpg,海綿寶寶和他最要好的朋友派大星以及其他住在比奇堡的好友們將首次以全新CGI版本躍上大銀幕。在海綿寶寶最喜愛的寵物小蝸被綁架後，他和派大星展開一場史詩般的冒險，前往失落的亞特蘭提斯城把小蝸帶回家。在他們遇到危險並經歷一連串搞笑的救援任務之後，海綿寶寶和他的夥伴們證明了沒有什麼比他們的友誼還要更堅固。
深海擴散,驚悚,https://www.98yp.net/wp-content/uploads/2020/05/0612%E3%80%8A%E6%B7%B1%E6%B5%B7%E6%93%B4%E6%95%A3%E3%80%8B%E6%AD%A3%E5%BC%8F%E6%B5%B7%E5%A0%B1-1.jpeg,★ 爛番茄指數超高好評，多倫多影展世界首映口碑沸騰 ★ 繼《深海終結站》後，跨國團隊打造全新變種異獸驚嚇大銀幕！孤僻的女海洋生物學家西沃恩，跟隨著一艘破舊的拖網漁船出海，進行為期一週的研究，原以為單純的任務，卻因與整組船員格格不入而備感壓力。但船行至大西洋深海區，卻意外陷入不明海底生物的陷阱，船員一個個遭到感染，生命受到威脅，西沃恩必須克服她的性格，尋求與大家的和解，並贏得眾人信任，不過卻發現一切可能都太遲了……
烈火情人,文藝愛情,https://image.agentm.tw/images/movie/d1e699b88344d4ea82dd5f02d074e22277bec0355d63f3f184d36bc33e91a3dc/poster/image/c846c2ef-1ffa-4063-a582-3febd8a2766c.jpg,★ 金獎影帝后茱麗葉畢諾許、傑瑞米艾朗從影最大尺度激情演出 ★ 28周年數位修復版為一刀未剪完整版！史帝在政府裡擔任要職，與妻子共組溫暖富裕的家庭，直到他在某個社交場邂逅了妙齡女郎安娜，史帝被安娜吸引，儘管她是兒子馬丁的女友，史帝與安娜依然像乾柴遇上烈火，安娜勾起他從未感受過的激情和慾望，讓史帝在一次次與她的私會裡沉淪，卻看不透安娜的真心。最後，安娜決定與馬丁結婚，同時持續著和史帝的危險關係，隨著這段不倫戀逐漸步向毀滅，史帝美滿的人生也開始崩解…...
犬犬風塵,紀錄片,https://movies.yahoo.com.tw/i/o/production/movies/June2020/KzZARb3PHwZQxvHGaOvA-505x720.jpg,★ 阿姆斯特丹紀錄片影展 評審團特別獎《犬犬風塵》與大多數的流浪犬紀錄片不太一樣，全片76分鐘；用剛好的片長、輕鬆的方式討探關於人與犬在城市中“共生”關係，沒有說教旁白來定義這些社會議題的答案，只藉由“犬犬”真實日常生活的溫柔紀錄，來伴隨滑板場上的少女少年們。團隊希望能將電影中“共生”的概念傳遞出去，我們明白”犬犬們“認定的摯愛家人；就是他們的全世界，很多時候、很多地方，我們都想帶上毛孩子們一同前行。
玩命Online：雙槍對決,喜劇,https://movies.yahoo.com.tw/i/o/production/movies/May2020/SLqV1cIKYFPwlwc2uMtm-800x1140.jpg,★ 笑爛！爆紅迷因「比魔杖好用」原梗電影 ★ 再創瘋癲《哈利波特》丹尼爾雷德克里夫 ★ 再開殺戒《弒婚遊戲》薩瑪拉威明！邁爾斯是個普通的上班族，下班後喜歡躲在螢幕後面做鍵盤酸民，某次他的留言真的得罪了危險的「死陣」真人實境遊戲老闆！而後邁爾斯被團隊揍昏，雙手被釘上手槍，不僅褲子沒辦法穿，更被迫加入了直播對戰，必須殺掉目前第一名的玩家妮克絲才能活命，不能逃、不能輸，否則就等著被殺掉！
破處,劇情,https://movies.yahoo.com.tw/i/o/production/movies/May2020/I398BDR7djfzIhba07hv-702x1000.jpg,★ 想登大人？少年郎脫魯必看寶典 ★ 荒謬「性」喜劇國片！神器以巨屌跟處男聞名於學校間，有令人羨慕的身體和單純直男腦袋。阿烈，來自香港的富家子，聰明搞怪。行影不離的兩人是學校裡的最佳拍檔，成日盡惡搞些白爛事。在神器十八歲生日當天，好兄弟阿烈堅持要帶神器破處，於是在網路上約熟女姐姐來幫助神器破處「轉大人」。但這場破處之夜，竟然讓這對難兄難弟得要開始準備跑路？！
神力女超人1984,冒險,https://movies.tw.campaign.yahoo.net/i/o/production/movies/December2019/4w4Pw0XxeUqyMu25EaLh-1280x1897.jpg,時間快轉到了1980年代，神力女超人在她的下一個銀幕大冒險中，發現自己面對了兩個全新的敵人：麥斯威爾洛德和豹女。 本片依然由導演派蒂珍金斯執導，蓋兒加朵扮演神力女超人，克里斯潘恩繼續在本片飾演史提夫崔佛，另外還有克莉絲汀薇格飾演的豹女，佩德羅帕斯卡飾演的麥斯威爾洛德，羅蘋萊特飾演的安提奧佩，以及康妮尼爾森飾演的希波呂忒。
福島50英雄,劇情,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2020/zJH9go6lYKzxBgXbQjod-703x1000.jpg,2011年3月11日，日本發生規模9.0地震，引發的大海嘯並導致超過19000人喪生。海嘯無情地吞沒福島縣內的福島第一核電廠，若放著爐心熔毀的核電廠不管，日本將承受超乎想像的災難。面臨如此生死交關的困境，50位無名英雄們決定留在核電廠處理危機。儘管電廠內部人員辛勤奮鬥，事態卻仍不斷惡化，剩下的方法只有一個：執行圍阻體排放措施。作業員必須以肉身進入反應爐内徒手施作，且是全球史上的首次嘗試，毫無前例可循！唯有無私奉獻 才能創造奇蹟！
綠光 經典數位修復,劇情,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2020/bm4vRotOJK8XANYWiBlH-509x720.jpg,★ 威尼斯影展最佳影片、最佳導演、最佳女主角 ★ 法國大師級導演 侯麥 影壇最重要作品！單身多時的黛芬自認是好相處的人，卻總與他人格格不入。對於感情，她視「寧缺勿濫」為真諦。在盛夏的七月，說好的旅行，竟被朋友放鳥！不願獨自留在巴黎而提早回家；對前男友餘情未了的她，一時興起向對方借了別墅的鑰匙，卻連一個下午也待不下去，被寂寞擊敗回家。黛芬在「出發」與「回歸」搖擺不定，直到她開始深信那道屬於自己的「綠光」出現，一如生命中那個「可遇不可求」的人。
