title,theater,location
巴黎寂寞不打烊,國賓影城@台北長春廣場,台北市中山區長春路176號
影裏,國賓影城@台北長春廣場,台北市中山區長春路176號
抽屍剝繭,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
抽屍剝繭,國賓影城@台北長春廣場,台北市中山區長春路176號
抽屍剝繭,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
末代皇帝（數位修復版）,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
末代皇帝（數位修復版）,國賓影城@台北長春廣場,台北市中山區長春路176號
海邊走走,國賓影城@台北長春廣場,台北市中山區長春路176號
烈火情人,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
烈火情人,國賓影城@台北長春廣場,台北市中山區長春路176號
當愛再來的時候,國賓影城@台北長春廣場,台北市中山區長春路176號
絕地救援.,國賓大戲院,台北市成都路88號
絕地救援.,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
絕地救援.,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
絕地救援.,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
絕地救援.,國賓影城@台北長春廣場,台北市中山區長春路176號
絕地救援.,國賓影城@台南國賓廣場,台南市中華東路一段66號
絕地救援.,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
絕地救援.,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓
絕地救援.,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F
絕地救援.,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號
絕地救援.,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓
絕地救援.,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
絕地救援.,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
罪人的控訴,國賓影城@台北長春廣場,台北市中山區長春路176號
美好拾光公司,國賓影城@台北長春廣場,台北市中山區長春路176號
蚵豐村,國賓影城@台北長春廣場,台北市中山區長春路176號
蝙蝠俠：開戰時刻,國賓大戲院,台北市成都路88號
蝙蝠俠：開戰時刻,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
蝙蝠俠：開戰時刻,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
蝙蝠俠：開戰時刻,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
蝙蝠俠：開戰時刻,國賓影城@台北長春廣場,台北市中山區長春路176號
蝙蝠俠：開戰時刻,國賓影城@台南國賓廣場,台南市中華東路一段66號
蝙蝠俠：開戰時刻,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
蝙蝠俠：開戰時刻,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓
蝙蝠俠：開戰時刻,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F
蝙蝠俠：開戰時刻,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號
蝙蝠俠：開戰時刻,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓
蝙蝠俠：開戰時刻,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
蝙蝠俠：開戰時刻,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
見鬼的戀愛季節,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
見鬼的戀愛季節,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
見鬼的戀愛季節,國賓影城@台北長春廣場,台北市中山區長春路176號
見鬼的戀愛季節,國賓影城@台南國賓廣場,台南市中華東路一段66號
見鬼的戀愛季節,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
見鬼的戀愛季節,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
見鬼的戀愛季節,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
謝謝你愛過我,國賓影城@台北長春廣場,台北市中山區長春路176號
銀翼殺手最終版,國賓大戲院,台北市成都路88號
銀翼殺手最終版,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
銀翼殺手最終版,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
銀翼殺手最終版,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
銀翼殺手最終版,國賓影城@台北長春廣場,台北市中山區長春路176號
銀翼殺手最終版,國賓影城@台南國賓廣場,台南市中華東路一段66號
銀翼殺手最終版,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
銀翼殺手最終版,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓
銀翼殺手最終版,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F
銀翼殺手最終版,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號
銀翼殺手最終版,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
銀翼殺手最終版,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
靠北少女,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
靠北少女,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
靠北少女,國賓影城@台北長春廣場,台北市中山區長春路176號
靠北少女,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
靠北少女,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F
靠北少女,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號
靠北少女,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
黑暗騎士,國賓大戲院,台北市成都路88號
黑暗騎士,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
黑暗騎士,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
黑暗騎士,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
黑暗騎士,國賓影城@台北長春廣場,台北市中山區長春路176號
黑暗騎士,國賓影城@台南國賓廣場,台南市中華東路一段66號
黑暗騎士,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
黑暗騎士,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓
黑暗騎士,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F
黑暗騎士,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號
黑暗騎士,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓
黑暗騎士,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
黑暗騎士,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
黑暗騎士：黎明昇起.,國賓大戲院,台北市成都路88號
黑暗騎士：黎明昇起.,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
黑暗騎士：黎明昇起.,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
黑暗騎士：黎明昇起.,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
黑暗騎士：黎明昇起.,國賓影城@台北長春廣場,台北市中山區長春路176號
黑暗騎士：黎明昇起.,國賓影城@台南國賓廣場,台南市中華東路一段66號
黑暗騎士：黎明昇起.,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
黑暗騎士：黎明昇起.,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓
黑暗騎士：黎明昇起.,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F
黑暗騎士：黎明昇起.,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號
黑暗騎士：黎明昇起.,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓
黑暗騎士：黎明昇起.,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
黑暗騎士：黎明昇起.,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
